,cluster_id,Amplitude,ContamPct,group,KSLabel,firing_rate,presence_ratio,isi_viol,amplitude_cutoff,isolation_distance,d_prime,nn_hit_rate,nn_miss_rate,cumulative_drift,syncSpike_2,syncSpike_4,syncSpike_8,syncSpike_16,n_spike,is_noise,category
35,35,2514.3,0.0,0,0,0.0503641567136196,0.78,0.0,0.5,33.931494706449,4.21031608936716,0.516666666666667,0.0001002004008016,0.0,0.0750750750750751,0.012012012012012,0.0,0,333.0,1,noise
36,36,2580.1,100.0,1,1,0.0009074622831282,0.06,0.0,0.5,14942443714680.0,3.7095144579527,0.707762557077626,0.0,0.0,0.0,0.0,0.0,0,6.0,1,noise
37,37,2242.7,100.0,0,0,0.0136119342469242,0.52,0.0,0.5,35.6758479850726,3.62875241849954,0.266666666666667,0.0001668335001668,0.0,0.122222222222222,0.0111111111111111,0.0,0,90.0,1,noise
38,38,1988.5,0.0,0,1,0.0222328259366429,0.68,0.0,0.5,35.3810908856712,3.04714427599408,0.0416666666666667,0.000400641025641,0.0,0.122448979591837,0.0136054421768707,0.0,0,147.0,1,noise
39,39,1981.1,100.0,1,1,0.0033273617048037,0.15,0.0,0.5,129380929411548.0,5.19816978675693,0.0,3.33400013336001e-05,0.0,0.0909090909090909,0.0454545454545455,0.0,0,22.0,1,noise
40,40,2360.4,100.0,0,1,0.0016636808524018,0.1,0.0,0.5,29834022002162.7,4.04867294341918,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0,11.0,1,noise
41,41,1818.9,100.0,0,0,0.0051422862710602,0.3,0.0,0.5,103818678637118.0,4.00794377053587,0.0,0.0,0.0,0.147058823529412,0.0294117647058824,0.0,0,34.0,1,noise
42,42,2259.2,100.0,1,1,0.0019661682801112,0.12,0.0,0.0199063478470069,66827319089936.0,4.26376959513126,0.0,3.33366670000333e-05,0.0,0.153846153846154,0.0,0.0,0,13.0,1,noise
43,43,1583.7,100.0,1,1,0.0086208916897186,0.46,0.0,0.5,60.6571413355919,3.97616877686723,0.222222222222222,6.66866726684672e-05,0.0,0.12280701754386,0.0526315789473684,0.0175438596491228,0,57.0,1,noise
44,44,2910.4,99.6,0,1,2.62407843537928,0.99,0.823261646683011,0.5,101.546148428905,6.27106942246844,0.996,0.0051488003295232,178.01,0.0611527377521614,0.0062824207492795,0.0,0,17350.0,0,MUA
45,45,886.0,118.5,1,1,0.639760909605438,0.98,32.3473968087965,0.5,35.6089290158573,2.8843376261554,0.814265536723164,0.003673383711167,727.83,0.10354609929078,0.0125295508274232,0.0,0,4230.0,1,noise
46,46,1741.0,100.0,0,0,0.0075621856927356,0.35,0.0,0.5,64.5414042930915,3.55379273612251,0.0,0.0,0.0,0.04,0.0,0.0,0,50.0,1,noise
47,47,4823.8,0.0,0,0,0.220513334800172,0.96,0.0,0.0244817030737095,92.1205554360937,7.99198376716952,0.960905349794239,0.000304940028461,31.67,0.0541838134430727,0.0054869684499314,0.0006858710562414,0,1458.0,0,SUA
48,48,1677.0,100.0,1,1,0.0016636808524018,0.1,0.0,0.5,58783271274440.0,3.63537640252594,0.0,6.66733340000667e-05,0.0,0.272727272727273,0.181818181818182,0.0909090909090909,0,11.0,1,noise
49,49,2310.2,100.0,1,0,0.0046885551294961,0.22,0.0,0.449389346234786,97005885186732.0,5.08774147700456,0.222222222222222,0.0001333733453369,0.0,0.0967741935483871,0.0,0.0,0,31.0,1,noise
